epoch,train_loss,test_loss,learning_rate,stage,time_per_epoch
0,0.4471416374047597,0.3840336203575134,0.0001,1,63.76759624481201
1,0.39219002723693847,0.3775784373283386,0.0001,1,63.104289293289185
2,0.37321543842554095,0.3492759168148041,0.0001,1,62.96760082244873
3,0.355142938097318,0.33785085876782733,0.0001,1,61.726911783218384
4,0.34442634830872215,0.33497953911622363,0.0001,1,63.48260831832886
5,0.33616467167933783,0.32543479402860004,0.0001,1,61.56854224205017
6,0.31986374060312905,0.2932668998837471,0.0001,1,61.53107762336731
7,0.282560396194458,0.24682958175738653,0.0001,1,61.52273678779602
8,0.23852481792370478,0.21493781358003616,0.0001,1,61.42011833190918
9,0.21273968915144603,0.19800572594006857,0.0001,1,61.83492159843445
10,0.20688657114903133,0.19380764414866766,0.0001,1,61.946739196777344
11,0.19747200161218642,0.1799918239315351,0.0001,1,61.56381678581238
12,0.18648579716682434,0.16846692810455957,0.0001,1,61.987014055252075
13,0.2487333431839943,0.2176433652639389,0.0001,1,61.621384382247925
14,0.2147130380074183,0.1769533877571424,0.0001,1,61.81171751022339
15,0.18508677234252294,0.17069803923368454,0.0001,1,61.83605623245239
16,0.17724810813864073,0.16381934036811194,0.0001,1,62.338276386260986
17,0.17090138445297878,0.16336637362837791,0.0001,1,62.016146421432495
18,0.16832198724150657,0.1673122433324655,0.0001,1,62.27055835723877
19,0.16584725702802341,0.16643923645218214,0.0001,1,61.920318603515625
20,0.16333129182457923,0.17358928670485815,0.0001,1,61.54795861244202
21,0.15968723247448605,0.16363123804330826,0.0001,1,62.05287027359009
22,0.15591690416137377,0.16408937921126684,0.0001,1,61.96846532821655
23,0.1503966634472211,0.16075244918465614,0.0001,1,61.555882692337036
24,0.14987642938892046,0.15202517807483673,0.0001,1,62.116374492645264
25,0.1436914508541425,0.15571822598576546,0.0001,1,61.74385333061218
26,0.1452956055601438,0.1456440376738707,0.0001,1,62.28895163536072
27,0.13766245767474175,0.13865333050489426,0.0001,1,62.11365628242493
28,0.13110904917120933,0.1284315288066864,0.0001,1,61.9430890083313
29,0.12596031328042348,0.12273389473557472,0.0001,1,61.88205075263977
30,0.12308131630222002,0.12579821919401488,0.0001,1,61.9614782333374
31,0.1225917729238669,0.12344992036620776,0.0001,1,61.96975111961365
32,0.1204045111934344,0.133905578404665,0.0001,1,61.98968267440796
33,0.11995814020435015,0.13149515787760416,0.0001,1,62.40153503417969
34,0.11576553558309872,0.12159867708881696,0.0001,1,61.52353477478027
35,0.10798866152763367,0.11469726637005806,0.0001,1,62.23714351654053
36,0.1062801072994868,0.11780590439836185,0.0001,1,62.14054536819458
37,0.10408416241407395,0.11028607810537021,0.0001,1,62.18652319908142
38,0.09825080633163452,0.09959169601400693,0.0001,1,62.205790519714355
39,0.0920494832098484,0.097588449716568,0.0001,1,61.98654103279114
40,0.08932768205801646,0.09291063621640205,0.0001,1,61.54725909233093
41,0.0850993424654007,0.08794685329000156,0.0001,1,62.49853444099426
42,0.08099599530299505,0.0859739159544309,0.0001,1,61.76923108100891
43,0.07696584736307462,0.08450208604335785,0.0001,1,62.29608607292175
44,0.075221940005819,0.07734134544928868,0.0001,1,61.98526120185852
45,0.07200199030339718,0.07568219241996606,0.0001,1,62.08924460411072
